brand,product,sector,status
GAF Shingles,GAF - Seal A Ridge Application.pdf,general,MISSING
GAF Shingles,GAF - Apron Flashing Transverse.pdf,general,MISSING
GAF Shingles,GAF - Apron Flashing Vented.pdf,general,MISSING
GAF Shingles,GAF - Apron Termination.pdf,general,MISSING
GAF Shingles,GAF - Barge End.pdf,general,MISSING
GAF Shingles,GAF - Chimney Cricket.pdf,general,MISSING
GAF Shingles,GAF - Cross Section.pdf,general,MISSING
GAF Shingles,GAF - Dutch Dormer Gable Junction.pdf,general,MISSING
GAF Shingles,GAF - Dutch Gable.pdf,general,MISSING
GAF Shingles,GAF - Eave Detail.pdf,general,MISSING
GAF Shingles,GAF - Flat Roof Transition.pdf,roofing,MISSING
GAF Shingles,GAF - Gable to Ridge.pdf,general,MISSING
GAF Shingles,GAF - Gutter Wall Junction.pdf,general,MISSING
GAF Shingles,GAF - Hip Ridge Capping.pdf,general,MISSING
GAF Shingles,GAF - Internal Valley Cricket.pdf,general,MISSING
GAF Shingles,GAF - Intertenancy 134A.pdf,general,CERTIFIED
GAF Shingles,GAF - Intertenancy 134B.pdf,general,CERTIFIED
GAF Shingles,GAF - Kick Out Flashing.pdf,general,MISSING
GAF Shingles,GAF - Mansard Pitch Change.pdf,general,MISSING
GAF Shingles,GAF - Masterflow Box Vent.pdf,general,MISSING
GAF Shingles,GAF - Penetration Openings.pdf,general,MISSING
GAF Shingles,GAF - Pipe Penetration.pdf,general,MISSING
GAF Shingles,GAF - Pitch Change.pdf,general,MISSING
GAF Shingles,GAF - PV Solar Panel Mount.pdf,general,MISSING
GAF Shingles,GAF - Rainwater Spreader.pdf,general,MISSING
GAF Shingles,GAF - Ridge Beam.pdf,general,MISSING
GAF Shingles,GAF - Ridge Cladding.pdf,cladding,MISSING
GAF Shingles,GAF - Ridge to Wall.pdf,general,MISSING
GAF Shingles,GAF - Roof to Wall Flashings.pdf,roofing,MISSING
GAF Shingles,GAF - Roof Wall Inside Corners.pdf,roofing,MISSING
GAF Shingles,GAF - Roof Wall Ridge Vented.pdf,roofing,MISSING
GAF Shingles,GAF - Roof Wall Ridge.pdf,roofing,MISSING
GAF Shingles,GAF - Slope to Wall.pdf,general,MISSING
GAF Shingles,GAF - Specific Penetration.pdf,general,MISSING
GAF Shingles,GAF - Step Flashings.pdf,general,MISSING
GAF Shingles,GAF - Surface Exhaust Vent.pdf,general,MISSING
GAF Shingles,GAF - Surface Intake Vent.pdf,general,MISSING
GAF Shingles,GAF - Valley Cladding.pdf,cladding,MISSING
GAF Shingles,GAF - Valley to Dormer.pdf,general,MISSING
GAF Shingles,GAF - Slateline Data Sheet.pdf,general,MISSING
GAF Shingles,GAF - BRANZ Appraisal 529.pdf,timber,CERTIFIED
GAF Shingles,GAF - Construction Notes.pdf,timber,MISSING
GAF Shingles,GAF - Cross Section Detail.pdf,timber,MISSING
GAF Shingles,GAF - Fastening Method Detail.pdf,timber,MISSING
GAF Shingles,GAF - Fixing Specifications.pdf,timber,MISSING
GAF Shingles,GAF - NZ Specifications 2018.pdf,timber,CERTIFIED
GAF Shingles,GAF - Roof Maintenance Schedule.pdf,roofing,MISSING
GAF Shingles,GAF - Shingle Application Low Slopes.pdf,timber,MISSING
GAF Shingles,GAF - Staples vs Nails.pdf,timber,MISSING
GAF Shingles,GAF - System Design Details.pdf,timber,CERTIFIED
GAF Shingles,GAF - Timberline Application Instructions.pdf,timber,MISSING
GAF Shingles,GAF - Timberline HDZ Data Sheet.pdf,timber,MISSING
GAF Shingles,GAF - D226 UltraGuard Underlay Data Sheet 2025.pdf,general,CERTIFIED
GAF Shingles,GAF - Stormwater and Potable Water Data Sheet.pdf,general,MISSING
Gerard Roofing,Gerard - Master NZ Installation Manual v2.3 (Jul 2024).pdf,roofing,CERTIFIED
Gerard Roofing,Gerard - CF Shake Shingle Installation Manual v32 (Nov 2025).pdf,roofing,MISSING
Joinery,APL - 00 General - BPIR Combined Altherm (MASTER).pdf,windows,BPIR_ONLY
Joinery,APL - 00 General - BPIR Combined First Windows.pdf,windows,BPIR_ONLY
Joinery,APL - 00 General - BPIR Residential Non-Thermal.pdf,windows,BPIR_ONLY
Joinery,APL - 00 General - BPIR Residential Thermal with Klima-F.pdf,windows,BPIR_ONLY
Joinery,APL - 00 General - BRANZ Appraisal 1188 Metro Centrafix.pdf,windows,CERTIFIED
Joinery,APL - 00 General - BRANZ Appraisal 1259 ThermalHEART Plus 2024.pdf,windows,CERTIFIED
Joinery,APL - EPD Understanding Global Standard.pdf,windows,MISSING
Joinery,APL - R-Value and Ug-Value Calculator Guide.pdf,windows,MISSING
Joinery,APL AGP - Condensation Guide.pdf,windows,MISSING
Joinery,APL AGP - Visual Quality of Glass Standards.pdf,windows,MISSING
Joinery,APL - Architectural Series - Masterspec Technical Statement.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Head Detail Cavity.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Head Detail Direct Fix.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Jamb Detail Cavity.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Jamb Detail Direct Fix.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Sill Detail Cavity.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Sill Detail Direct Fix.pdf,windows,MISSING
Joinery,APL - Metro Sliding Window - Weatherboard Detail.pdf,windows,MISSING
Joinery,APL - Metro Series Doors - Data Sheets Compression v3.pdf,windows,MISSING
Joinery,APL - Metro ThermalHEART - Sliding Windows BRANZ Appraisal.pdf,windows,CERTIFIED
Joinery,APL - Metro ThermalHEART - Span Tables Sliding Windows.pdf,windows,MISSING
Joinery,APL - Metro Series - Data Sheet.pdf,windows,MISSING
Joinery,Altus - 00 General - Care and Maintenance Flyer Surface Finish.pdf,windows,MISSING
Joinery,Altus - 00 General - Care and Maintenance Guide.pdf,windows,MISSING
Joinery,Altus - 00 General - Double vs Triple Glazing Comparison Chart.pdf,windows,MISSING
Joinery,Altus - 00 General - Environmental Product Declaration EPD v2.pdf,windows,MISSING
Joinery,Altus - 00 General - H1 Energy Efficiency Guide (MASTER).pdf,windows,MISSING
Joinery,Altus - 00 General - NZS 4223.3 2016 Glazing Changes Guide.pdf,windows,MISSING
Joinery,Altus - 00 General - WGANZ Guide to Condensation.pdf,windows,MISSING
Joinery,Altus - 00 General - WGANZ Guide to Window Installation 2022.pdf,windows,MISSING
Joinery,Altus - Bifold Door - Installation Details.pdf,windows,MISSING
