[2025-11-30T03:58:56.171086] ❌ Failed to ingest C-AS1_2nd-Edition-Amendment1.pdf: Failed to download pdfs/C-AS1_2nd-Edition-Amendment1.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:58:56.966895] ❌ Failed to ingest C-AS2_3rd-Edition-Amendment4-2024.pdf: Failed to download pdfs/C-AS2_3rd-Edition-Amendment4-2024.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:58:57.902081] ❌ Failed to ingest E1-AS1_1st-Edition-Amendment12.pdf: Failed to download pdfs/E1-AS1_1st-Edition-Amendment12.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:58:58.845789] ❌ Failed to ingest E2-AS1_4th-Edition-2025.pdf: Failed to download pdfs/E2-AS1_4th-Edition-2025.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:58:59.779015] ❌ Failed to ingest E3-AS1_2nd-Edition.pdf: Failed to download pdfs/E3-AS1_2nd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:00.613122] ❌ Failed to ingest F4-AS1_Amendment6-2021.pdf: Failed to download pdfs/F4-AS1_Amendment6-2021.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:01.564493] ❌ Failed to ingest F6-AS1_Amendment3-2021.pdf: Failed to download pdfs/F6-AS1_Amendment3-2021.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:02.463658] ❌ Failed to ingest F7-AS1_5th-Edition-2023.pdf: Failed to download pdfs/F7-AS1_5th-Edition-2023.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:03.325056] ❌ Failed to ingest G12-AS1_3rd-Edition.pdf: Failed to download pdfs/G12-AS1_3rd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:04.174067] ❌ Failed to ingest G13-AS1_3rd-Edition.pdf: Failed to download pdfs/G13-AS1_3rd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:04.990229] ❌ Failed to ingest H1-AS1_6th-Edition.pdf: Failed to download pdfs/H1-AS1_6th-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:05.877222] ❌ Failed to ingest H1-VM1_6th-Edition-2025.pdf: Failed to download pdfs/H1-VM1_6th-Edition-2025.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:06.690046] ❌ Failed to ingest GIB-Bracing-Supplement-2016.pdf: Failed to download pdfs/GIB-Bracing-Supplement-2016.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:07.591467] ❌ Failed to ingest GIB-EzyBrace-Systems-2016.pdf: Failed to download pdfs/GIB-EzyBrace-Systems-2016.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:08.444552] ❌ Failed to ingest GIB-Fire-Systems-Manual.pdf: Failed to download pdfs/GIB-Fire-Systems-Manual.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:09.339448] ❌ Failed to ingest Internal-WetArea-Membrane-CodeOfPractice_4th-Edition-2020.pdf: Failed to download pdfs/Internal-WetArea-Membrane-CodeOfPractice_4th-Edition-2020.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T03:59:09.795233] ❌ Failed to ingest Ardex-Waterproofing-Manual.pdf: Failed to download pdfs/Ardex-Waterproofing-Manual.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:08.014798] ❌ Failed to ingest C-AS1_2nd-Edition-Amendment1.pdf: Failed to download pdfs/C-AS1_2nd-Edition-Amendment1.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:08.830554] ❌ Failed to ingest C-AS2_3rd-Edition-Amendment4-2024.pdf: Failed to download pdfs/C-AS2_3rd-Edition-Amendment4-2024.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:09.721772] ❌ Failed to ingest E1-AS1_1st-Edition-Amendment12.pdf: Failed to download pdfs/E1-AS1_1st-Edition-Amendment12.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:10.627542] ❌ Failed to ingest E2-AS1_4th-Edition-2025.pdf: Failed to download pdfs/E2-AS1_4th-Edition-2025.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:11.564289] ❌ Failed to ingest E3-AS1_2nd-Edition.pdf: Failed to download pdfs/E3-AS1_2nd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:12.478181] ❌ Failed to ingest F4-AS1_Amendment6-2021.pdf: Failed to download pdfs/F4-AS1_Amendment6-2021.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:13.343737] ❌ Failed to ingest F6-AS1_Amendment3-2021.pdf: Failed to download pdfs/F6-AS1_Amendment3-2021.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:14.262640] ❌ Failed to ingest F7-AS1_5th-Edition-2023.pdf: Failed to download pdfs/F7-AS1_5th-Edition-2023.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:15.115859] ❌ Failed to ingest G12-AS1_3rd-Edition.pdf: Failed to download pdfs/G12-AS1_3rd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:16.033856] ❌ Failed to ingest G13-AS1_3rd-Edition.pdf: Failed to download pdfs/G13-AS1_3rd-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:16.850517] ❌ Failed to ingest H1-AS1_6th-Edition.pdf: Failed to download pdfs/H1-AS1_6th-Edition.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:17.718928] ❌ Failed to ingest H1-VM1_6th-Edition-2025.pdf: Failed to download pdfs/H1-VM1_6th-Edition-2025.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:18.542310] ❌ Failed to ingest GIB-Bracing-Supplement-2016.pdf: Failed to download pdfs/GIB-Bracing-Supplement-2016.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:19.495962] ❌ Failed to ingest GIB-EzyBrace-Systems-2016.pdf: Failed to download pdfs/GIB-EzyBrace-Systems-2016.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:20.328069] ❌ Failed to ingest GIB-Fire-Systems-Manual.pdf: Failed to download pdfs/GIB-Fire-Systems-Manual.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:21.219680] ❌ Failed to ingest Internal-WetArea-Membrane-CodeOfPractice_4th-Edition-2020.pdf: Failed to download pdfs/Internal-WetArea-Membrane-CodeOfPractice_4th-Edition-2020.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
[2025-11-30T04:23:22.072959] ❌ Failed to ingest Ardex-Waterproofing-Manual.pdf: Failed to download pdfs/Ardex-Waterproofing-Manual.pdf: {'statusCode': 404, 'error': not_found, 'message': Object not found}
