agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Inspector,Compliance,NZ Building Code,Ardex-Waterproofing-Manual.pdf,42.59,Ingested,121,0,Ardex-Waterproofing-Manual,Ardex-Waterproofing-Manual.pdf
Inspector,Compliance,NZ Building Code,B1-Structure-Amendment13.pdf,1.61,Ingested,43,0,B1-Structure-Amendment13,B1-Structure-Amendment13.pdf
Inspector,Compliance,NZ Building Code,b1-structure-as1-second-edition.pdf,0.59,Ingested,81,0,b1-structure-as1-second-edition,b1-structure-as1-second-edition.pdf
Inspector,Compliance,NZ Building Code,building-code.pdf,1.57,Ingested,30,0,building-code,building-code.pdf
Inspector,Compliance,NZ Building Code,C-AS1_2nd-Edition_2023.pdf,2.60,Ingested,54,0,C-AS1_2nd-Edition_2023,C-AS1_2nd-Edition_2023.pdf
Inspector,Compliance,NZ Building Code,C-AS2_2nd-Edition_2025.pdf,5.79,Ingested,353,0,C-AS2_2nd-Edition_2025,C-AS2_2nd-Edition_2025.pdf
Inspector,Compliance,NZ Building Code,C-AS3_Amendment-4_2019-EXPIRED.pdf,3.58,Ingested,422,0,C-AS3_Amendment-4_2019-EXPIRED,C-AS3_Amendment-4_2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,C-AS4_Amendment-4_2019-EXPIRED.pdf,4.12,Ingested,636,0,C-AS4_Amendment-4_2019-EXPIRED,C-AS4_Amendment-4_2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,C-AS5_Amendment-4_2019-EXPIRED.pdf,3.89,Ingested,638,0,C-AS5_Amendment-4_2019-EXPIRED,C-AS5_Amendment-4_2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,C-AS6_Amendment-4_2019-EXPIRED.pdf,3.69,Ingested,402,0,C-AS6_Amendment-4_2019-EXPIRED,C-AS6_Amendment-4_2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,C-AS7_Amendment-4_2019-EXPIRED.pdf,1.47,Ingested,60,0,C-AS7_Amendment-4_2019-EXPIRED,C-AS7_Amendment-4_2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,C-VM2_Amendment-6_2020.pdf,2.05,Ingested,316,0,C-VM2_Amendment-6_2020,C-VM2_Amendment-6_2020.pdf
Inspector,Compliance,NZ Building Code,CAS3-Amendment4-2019-EXPIRED.pdf,3.58,Ingested,240,0,CAS3-Amendment4-2019-EXPIRED,CAS3-Amendment4-2019-EXPIRED.pdf
Inspector,Compliance,NZ Building Code,E1-AS1_1st-Edition-Amd12-2024.pdf,2.66,Ingested,28,0,E1-AS1_1st-Edition-Amd12-2024,E1-AS1_1st-Edition-Amd12-2024.pdf
Inspector,Compliance,NZ Building Code,E2-AS1_4th-Edition-2025.pdf,12.24,Ingested,339,0,E2-AS1_4th-Edition-2025,E2-AS1_4th-Edition-2025.pdf
Inspector,Compliance,NZ Building Code,e2-external-moisture-as1-fourth-edition.pdf,22.36,Ingested,94,0,e2-external-moisture-as1-fourth-edition,e2-external-moisture-as1-fourth-edition.pdf
Inspector,Compliance,NZ Building Code,E3-AS1_2nd-Edition-Amd7-2020.pdf,0.92,Ingested,34,0,E3-AS1_2nd-Edition-Amd7-2020,E3-AS1_2nd-Edition-Amd7-2020.pdf
Inspector,Compliance,NZ Building Code,F4-AS1_Amendment-6-2021.pdf,0.64,Ingested,8,0,F4-AS1_Amendment-6-2021,F4-AS1_Amendment-6-2021.pdf
Inspector,Compliance,NZ Building Code,F6-AS1_Amendment-3-2021.pdf,0.48,Ingested,6,0,F6-AS1_Amendment-3-2021,F6-AS1_Amendment-3-2021.pdf
Inspector,Compliance,NZ Building Code,F7-AS1_5th-Edition-2023.pdf,0.48,Not Ingested,0,0,,F7-AS1_5th-Edition-2023.pdf
