agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,ABODO-New-TMT-Painting-and-Staining-Spec-Nov-2014.pdf,0.35,Ingested,29,0,Abodo Wood - ABODO-New-TMT-Painting-and-Staining-Spec-Nov-2014,A_Structure/Abodo_Wood/Color_Finishes_Textures/ABODO-New-TMT-Painting-and-Staining-Spec-Nov-2014.pdf
Product Rep,A_Structure,Abodo Wood,AW62-180x20mm-Profile-Drawing-Abodo-Wood.pdf,0.41,Ingested,1,0,Abodo Wood - AW62-180x20mm-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/AW62-180x20mm-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,AW62P-187x18-Profile-Drawing-Abodo-Wood-Jan-18.pdf,0.41,Ingested,2,0,Abodo Wood - AW62P-187x18-Profile-Drawing-Abodo-Wood-Jan-18,A_Structure/Abodo_Wood/Profile_Drawings/AW62P-187x18-Profile-Drawing-Abodo-Wood-Jan-18.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Brochure-New-Growth-Feature-Timbers.pdf,5.56,Ingested,41,0,Abodo Wood - Abodo-Brochure-New-Growth-Feature-Timbers,A_Structure/Abodo_Wood/Brochures_Fact_Sheets/Abodo-Brochure-New-Growth-Feature-Timbers.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-CodeMark-Weatherboard-Cladding-System-Manual.pdf,12.78,Ingested,311,0,Abodo Wood - Abodo-CodeMark-Weatherboard-Cladding-System-Manual,A_Structure/Abodo_Wood/Guides_Manuals/Abodo-CodeMark-Weatherboard-Cladding-System-Manual.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Codemark-Certification-2020.pdf,0.43,Ingested,15,0,Abodo Wood - Abodo-Codemark-Certification-2020,A_Structure/Abodo_Wood/Certificates_Warranties/Abodo-Codemark-Certification-2020.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Guidelines-for-Vulcan-Cladding-Standard-Series-Clear-2-Laminated-Grade.pdf,2.42,Ingested,3,0,Abodo Wood - Abodo-Guidelines-for-Vulcan-Cladding-Standard-Series-Clear-2-Laminated-Grade,A_Structure/Abodo_Wood/Guides_Manuals/Abodo-Guidelines-for-Vulcan-Cladding-Standard-Series-Clear-2-Laminated-Grade.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Mixed-Length-Specification-Export.pdf,0.08,Ingested,1,0,Abodo Wood - Abodo-Mixed-Length-Specification-Export,A_Structure/Abodo_Wood/Guides_Manuals/Abodo-Mixed-Length-Specification-Export.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Profile-Drawing-WB18-180x18.pdf,0.06,Ingested,1,0,Abodo Wood - Abodo-Profile-Drawing-WB18-180x18,A_Structure/Abodo_Wood/Profile_Drawings/Abodo-Profile-Drawing-WB18-180x18.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Safety-Data-Sheet-End-Seal-MAY-23-V3.pdf,0.08,Ingested,15,0,Abodo Wood - Abodo-Safety-Data-Sheet-End-Seal-MAY-23-V3,A_Structure/Abodo_Wood/Safety_Data_Sheets/Abodo-Safety-Data-Sheet-End-Seal-MAY-23-V3.pdf
