agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,B_Enclosure,James Hardie,Hardie_Oblique_and_Stria_Cladding_Vertical_Installation_Guide.pdf,3.2,Ingested,56,0,James_Hardie_Hardie_Oblique_and_Stria_Cladding_Vertical_Installation_Guide,B_Enclosure/Wall_Cladding/James_Hardie/Hardie_Oblique_and_Stria_Cladding_Vertical_Installation_Guide.pdf
Product Rep,B_Enclosure,James Hardie,HomeRAB_Pre-Cladding_and_RAB_Board_Installation_Manual.pdf,3.33,Ingested,106,0,James_Hardie_HomeRAB_Pre-Cladding_and_RAB_Board_Installation_Manual,B_Enclosure/Wall_Cladding/James_Hardie/HomeRAB_Pre-Cladding_and_RAB_Board_Installation_Manual.pdf
Product Rep,B_Enclosure,James Hardie,James_Hardie_Facades_Installation_Manual.pdf,0.25,Ingested,42,0,James_Hardie_James_Hardie_Facades_Installation_Manual,B_Enclosure/Wall_Cladding/James_Hardie/James_Hardie_Facades_Installation_Manual.pdf
Product Rep,B_Enclosure,James Hardie,James_Hardie_Fire_and_Acoustic_Design_Manual.pdf,0.25,Ingested,42,0,James_Hardie_James_Hardie_Fire_and_Acoustic_Design_Manual,B_Enclosure/Wall_Cladding/James_Hardie/James_Hardie_Fire_and_Acoustic_Design_Manual.pdf
Product Rep,B_Enclosure,James Hardie,Linea_Weatherboard_Direct_Fix_Technical_Specification.pdf,7.86,Ingested,83,0,James_Hardie_Linea_Weatherboard_Direct_Fix_Technical_Specification,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Direct_Fix_Technical_Specification.pdf
Product Rep,B_Enclosure,James Hardie,Linea_Weatherboard_Installation_Checklist.pdf,0.47,Ingested,9,0,James_Hardie_Linea_Weatherboard_Installation_Checklist,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Checklist.pdf
Product Rep,B_Enclosure,James Hardie,Linea_Weatherboard_Installation_Guide.pdf,7.1,Ingested,58,0,James_Hardie_Linea_Weatherboard_Installation_Guide,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Guide.pdf
Product Rep,B_Enclosure,James Hardie,Linea_Weatherboard_Installation_Guide_Apr23.pdf,7.1,Ingested,58,0,James_Hardie_Linea_Weatherboard_Installation_Guide_Apr23,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Guide_Apr23.pdf
Product Rep,B_Enclosure,James Hardie,RAB_Board_Installation_Guide_Legacy.pdf,2.66,Ingested,46,0,James_Hardie_RAB_Board_Installation_Guide_Legacy,B_Enclosure/Wall_Cladding/James_Hardie/RAB_Board_Installation_Guide_Legacy.pdf
Product Rep,B_Enclosure,James Hardie,Stria_Cladding_Vertical_40mm_Structural_Cavity_Batten.pdf,10.85,Ingested,79,0,James_Hardie_Stria_Cladding_Vertical_40mm_Structural_Cavity_Batten,B_Enclosure/Wall_Cladding/James_Hardie/Stria_Cladding_Vertical_40mm_Structural_Cavity_Batten.pdf
Product Rep,B_Enclosure,James Hardie,Stria_Cladding_Vertical_Installation_Technical_Specification.pdf,10.88,Ingested,84,0,James_Hardie_Stria_Cladding_Vertical_Installation_Technical_Specification,B_Enclosure/Wall_Cladding/James_Hardie/Stria_Cladding_Vertical_Installation_Technical_Specification.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,10.08,Ingested,122,0,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,10.08,Ingested,122,0,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,1.97,Ingested,23,0,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,1.97,Ingested,23,0,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-data-sheet-en-nz.pdf,0.72,Ingested,43,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-data-sheet-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf,0.91,Ingested,84,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf,0.77,Ingested,20,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf,0.62,Ingested,18,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf,6.87,Ingested,130,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf,4.29,Ingested,122,0,Kingspan Deep Dive - kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-awp-evolution-codemark-certificate-en-nz.pdf,0.56,Ingested,23,0,Kingspan Deep Dive - kingspan-awp-evolution-codemark-certificate-en-nz.pdf,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-awp-evolution-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-awp-evolution-codemark-certificate-en-nz.pdf,0.56,Ingested,23,0,Kingspan Deep Dive - kingspan-awp-evolution-codemark-certificate-en-nz.pdf,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-awp-evolution-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-controlled-environment-greentag-certificate-en-nz-au.pdf,0.79,Not Ingested,0,0,,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-controlled-environment-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf,0.88,Ingested,58,0,Kingspan Deep Dive - kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf,0.51,Ingested,17,0,Kingspan Deep Dive - kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf,B_Enclosure/Kingspan/03_KRock_Firemaster_Wall_Panel/kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf,2.19,Ingested,25,0,Kingspan Deep Dive - kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf,B_Enclosure/Kingspan/03_KRock_Firemaster_Wall_Panel/kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf,3.36,Ingested,37,0,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf,0.6,Ingested,26,0,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf,3.41,Ingested,37,0,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-codemark-certificate-en-nz.pdf,0.53,Ingested,18,0,Kingspan Deep Dive - kingspan-ks1000rw-codemark-certificate-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-codemark-certificate-en-nz.pdf,0.53,Ingested,18,0,Kingspan Deep Dive - kingspan-ks1000rw-codemark-certificate-en-nz.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf,0.95,Ingested,52,0,Kingspan Deep Dive - kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf,0.84,Ingested,28,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf,6.51,Ingested,33,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,0.67,Ingested,67,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,0.67,Ingested,67,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,0.71,Ingested,22,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf,0.7,Ingested,21,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf,3.03,Ingested,86,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf,3.7,Ingested,103,0,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf,0.96,Ingested,80,0,Kingspan Deep Dive - kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf
