agent_zone,category,brand_folder,filename,file_size_mb,db_source,ingest_status,agent_text_chunks,agent_visual_assets,storage_path
Product Rep,C_Interiors,Asona Acoustics,AC-016-V2-Split-Rail-Profile.pdf,0.34,Asona Deep Dive - AC-016-V2-Split-Rail-Profile.pdf,Text Only,2,0,C_Interiors/Asona_Acoustics/29_Asona_Triton_Fabwool/AC-016-V2-Split-Rail-Profile.pdf
Product Rep,C_Interiors,Asona Acoustics,AC-020-V3-Donn-Standard-Grid-Components.pdf,0.26,Asona Deep Dive - AC-020-V3-Donn-Standard-Grid-Components.pdf,Text Only,2,0,C_Interiors/Asona_Acoustics/47_Rondo_Don/AC-020-V3-Donn-Standard-Grid-Components.pdf
Product Rep,C_Interiors,Asona Acoustics,AC-021-V2-Donn-Heavy-Grid-Components.pdf,0.25,Asona Deep Dive - AC-021-V2-Donn-Heavy-Grid-Components.pdf,Text Only,2,0,C_Interiors/Asona_Acoustics/47_Rondo_Don/AC-021-V2-Donn-Heavy-Grid-Components.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-AO-Gami.pdf,4.86,Asona Deep Dive - Asona-AO-Gami.pdf,Text Only,10,0,C_Interiors/Asona_Acoustics/01_Asona_Origami/Asona-AO-Gami.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Diffusion-v2.pdf,4.83,Asona Deep Dive - Asona-Diffusion-v2.pdf,Text Only,11,0,C_Interiors/Asona_Acoustics/02_Asona_Diffuzion/Asona-Diffusion-v2.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Gypclean.pdf,3.18,Asona Deep Dive - Asona-Gypclean.pdf,Text Only,6,0,C_Interiors/Asona_Acoustics/03_Asona_Gypclean/Asona-Gypclean.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-MetaPan-C-series-v2.pdf,4.83,Asona Deep Dive - Asona-MetaPan-C-series-v2.pdf,Text Only,8,0,C_Interiors/Asona_Acoustics/39_Metapan_C_Series/Asona-MetaPan-C-series-v2.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-MetaPan-P-series-v2.pdf,4.71,Asona Deep Dive - Asona-MetaPan-P-series-v2.pdf,Text Only,6,0,C_Interiors/Asona_Acoustics/40_Metapan_P/Asona-MetaPan-P-series-v2.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-MetaPan-UL-series.pdf,4.96,,Not Ingested,0,0,C_Interiors/Asona_Acoustics/41_Metapan_UL_Series/Asona-MetaPan-UL-series.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Polyfon-40-v3.pdf,5.23,Asona Deep Dive - Asona-Polyfon-40-v3.pdf,Text Only,13,0,C_Interiors/Asona_Acoustics/04_Asona_Polyfon_40/Asona-Polyfon-40-v3.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Polyfon-Mesh.pdf,6.38,Asona Deep Dive - Asona-Polyfon-Mesh.pdf,Text Only,11,0,C_Interiors/Asona_Acoustics/05_Asona_Polyfon_F_Mesh/Asona-Polyfon-Mesh.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Pyramid-3D-v2.pdf,3.04,Asona Deep Dive - Asona-Pyramid-3D-v2.pdf,Text Only,5,0,C_Interiors/Asona_Acoustics/06_Asona_Pyramid_3D/Asona-Pyramid-3D-v2.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Quicklock-v2.pdf,5.93,Asona Deep Dive - Asona-Quicklock-v2.pdf,Text Only,10,0,C_Interiors/Asona_Acoustics/07_Asona_Quicklock/Asona-Quicklock-v2.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Renew.pdf,4.05,Asona Deep Dive - Asona-Renew.pdf,Text Only,11,0,C_Interiors/Asona_Acoustics/08_Asona_Renew/Asona-Renew.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Snaptex.pdf,5.63,Asona Deep Dive - Asona-Snaptex.pdf,Text Only,8,0,C_Interiors/Asona_Acoustics/09_Asona_Snaptex/Asona-Snaptex.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Sonacoustic-v5.pdf,4.04,Asona Deep Dive - Asona-Sonacoustic-v5.pdf,Text Only,7,0,C_Interiors/Asona_Acoustics/51_Sona_Acoustic/Asona-Sonacoustic-v5.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Sonaris-Perforated-Laminates-v4.pdf,9.55,Asona Deep Dive - Asona-Sonaris-Perforated-Laminates-v4.pdf,Text Only,46,0,C_Interiors/Asona_Acoustics/36_Sonaris_Perforated_Laminates/Asona-Sonaris-Perforated-Laminates-v4.pdf
Product Rep,C_Interiors,Asona Acoustics,Asona-Sonaspray-v2.pdf,5.70,Asona Deep Dive - Asona-Sonaspray-v2.pdf,Text Only,6,0,C_Interiors/Asona_Acoustics/52_Sona_Spray/Asona-Sonaspray-v2.pdf
