agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-external-corner-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-external-corner-en-nz.pdf,0.24,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-external-corner-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-internal-corner-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-internal-corner-en-nz.pdf,0.23,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-internal-corner-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-interstorey-junction-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-interstorey-junction-en-nz.pdf,0.22,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-interstorey-junction-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-pipe-penetration-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-pipe-penetration-en-nz.pdf,0.22,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-pipe-penetration-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-plan-view-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-plan-view-en-nz.pdf,0.21,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-plan-view-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-wall-base-concrete-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-wall-base-concrete-en-nz.pdf,0.23,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-wall-base-concrete-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-wall-base-timber-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-wall-base-timber-en-nz.pdf,0.21,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-wall-base-timber-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-wall-no-soffit-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-wall-no-soffit-en-nz.pdf,0.22,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-wall-no-soffit-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-wall-to-soffit-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-wall-to-soffit-en-nz.pdf,0.23,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-wall-to-soffit-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-window-head-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-window-head-en-nz.pdf,0.21,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-window-head-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-window-jamb-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-window-jamb-en-nz.pdf,0.21,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-window-jamb-en-nz.pdf
Product Rep,Kingspan_K12,kingspan-k12-external-timber-frame-structural-batten-window-sill-en-nz.pdf,kingspan-k12-external-timber-frame-structural-batten-window-sill-en-nz.pdf,0.21,Not Ingested,0,0,,03_Kooltherm_K12_Framing_Board/kingspan-k12-external-timber-frame-structural-batten-window-sill-en-nz.pdf
