filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
Abodo Wood - ABODO-New-TMT-Painting-and-Staining-Spec-Nov-2014,Abodo Wood,Other,Color_Chart,cladding,29,0,Text Only,Product Rep
Abodo Wood - AW62-180x20mm-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - AW62P-187x18-Profile-Drawing,ABODO,Other,,,0,1,Visual Only,Engineer
Abodo Wood - AW62P-187x18-Profile-Drawing-Abodo-Wood-Jan-18,Abodo Wood,Other,CAD_Detail,cladding,2,0,Text Only,Product Rep
Abodo Wood - Abodo-Brochure-New-Growth-Feature-Timbers,Abodo Wood,Other,Product_Catalog,cladding,41,0,Text Only,Product Rep
Abodo Wood - Abodo-CodeMark-Weatherboard-Cladding-System-Manual,Abodo Wood,Other,Installation_Guide,cladding,311,0,Text Only,Product Rep
Abodo Wood - Abodo-Codemark-Certification-2020,Abodo Wood,Other,Certification,cladding,15,0,Text Only,Product Rep
Abodo Wood - Abodo-Guidelines-for-Vulcan-Cladding-Standard-Series-Clear-2-Laminated-Grade,Abodo Wood,Other,Installation_Guide,cladding,3,0,Text Only,Product Rep
Abodo Wood - Abodo-Mixed-Length-Specification-Export,Abodo Wood,Other,Installation_Guide,cladding,1,0,Text Only,Product Rep
Abodo Wood - Abodo-Profile-Drawing-WB18-180x18,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - Abodo-Safety-Data-Sheet-End-Seal-MAY-23-V3,Abodo Wood,Other,Safety_Data_Sheet,cladding,15,0,Text Only,Product Rep
Abodo Wood - Abodo-Safety-Data-Sheet-NZ-Protector-Jan-24,Abodo Wood,Other,Safety_Data_Sheet,cladding,87,0,Text Only,Product Rep
Abodo Wood - Abodo-Safety-Data-Sheet-Vulcan,Abodo Wood,Other,Safety_Data_Sheet,cladding,10,0,Text Only,Product Rep
Abodo Wood - Abodo-Safety-Data-Sheet_Rejuvenator-Wood-Cleaner-May-22,Abodo Wood,Other,Safety_Data_Sheet,cladding,30,0,Text Only,Product Rep
Abodo Wood - Abodo-Semi-Vertical-Grain-SVG-Grain-Orientation-Guidelines,Abodo Wood,Other,Installation_Guide,cladding,4,0,Text Only,Product Rep
Abodo Wood - Abodo-Sioox-Wood-Protection-Manual-Apr-23,Abodo Wood,Other,Installation_Guide,cladding,21,0,Text Only,Product Rep
Abodo Wood - Abodo-Thermal-Conductivity-Memo,Abodo Wood,Other,Technical_Manual,cladding,1,0,Text Only,Product Rep
Abodo Wood - Abodo-Vulcan-Cladding-Comparison-Guide,Abodo Wood,Other,Installation_Guide,cladding,1,0,Text Only,Product Rep
Abodo Wood - Abodo-Vulcan-Shingles-Oculus-Compliance-Letter,Abodo Wood,Other,Certification,cladding,6,0,Text Only,Product Rep
Abodo Wood - Abodo-Vulcan-Timber-LRV-and-SRI-Guide-May-23,Abodo Wood,Other,Color_Chart,cladding,37,0,Text Only,Product Rep
Abodo Wood - Abodo-Wood-Environmental-Product-Declaration,Abodo Wood,Other,EPD,cladding,80,0,Text Only,Product Rep
Abodo Wood - Appearance-Grades-Timber-Grading-Rules-Abodo-Wood,Abodo Wood,Other,Installation_Guide,cladding,9,0,Text Only,Product Rep
Abodo Wood - BAND4S-138x18-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - BAND4S-180x18-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - BAND4S-42x42-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - BAND4S-65x18-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - BAND4S-88x18-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - Built-to-Last-Warranty-30yrs-ACQ-Abodo-Wood,Abodo Wood,Other,Certification,cladding,4,0,Text Only,Product Rep
