agent_zone,category,brand_folder,filename,file_size_mb,db_source,ingest_status,agent_text_chunks,agent_visual_assets,storage_path
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,10.08,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,Text Only,108,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,10.08,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,Text Only,108,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,1.97,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,Text Only,24,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,1.97,Kingspan Deep Dive - Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,Text Only,24,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-data-sheet-en-nz.pdf,0.72,Kingspan Deep Dive - kingspan-architectural-wall-panel-data-sheet-en-nz.pdf,Text Only,51,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf,0.91,Kingspan Deep Dive - kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf,Text Only,100,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf,0.77,Kingspan Deep Dive - kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,28,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-installation-guide-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf,0.62,Kingspan Deep Dive - kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf,Text Only,21,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-installation-guide-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf,6.87,Kingspan Deep Dive - kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf,Text Only,159,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-technical-drawing-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf,4.29,Kingspan Deep Dive - kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf,Text Only,138,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-architectural-wall-panel-technical-drawing-vertical-en-nz.pdf
