agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source_matched,storage_path
Product Rep,F_Manufacturers,Bremick,Bremick_Industrial_Fasteners_Catalogue.pdf,0.97,Not Ingested,0,0,,F_Manufacturers/Fasteners/Bremick/Bremick_Industrial_Fasteners_Catalogue.pdf
Product Rep,F_Manufacturers,Bremick,Bremick_Masonry_Anchor_Catalogue.pdf,4.49,Not Ingested,0,0,,F_Manufacturers/Fasteners/Bremick/Bremick_Masonry_Anchor_Catalogue.pdf
Product Rep,F_Manufacturers,Bremick,Bremick_Socket_Screws_Catalogue.pdf,1.31,Not Ingested,0,0,,F_Manufacturers/Fasteners/Bremick/Bremick_Socket_Screws_Catalogue.pdf
Product Rep,F_Manufacturers,Bremick,Bremick_Stainless_Steel_Catalogue.pdf,0.97,Not Ingested,0,0,,F_Manufacturers/Fasteners/Bremick/Bremick_Stainless_Steel_Catalogue.pdf
Product Rep,F_Manufacturers,Buildex,Buildex_Low_Profile_Roof_Clip_Fastener_Guide.pdf,0.39,Not Ingested,0,0,,F_Manufacturers/Fasteners/Buildex/Buildex_Low_Profile_Roof_Clip_Fastener_Guide.pdf
Product Rep,F_Manufacturers,Buildex,ITW_Buildex_2020_Catalog.pdf,2.74,Not Ingested,0,0,,F_Manufacturers/Fasteners/Buildex/ITW_Buildex_2020_Catalog.pdf
Product Rep,F_Manufacturers,Buildex,ITW_Buildex_Catalog_2024-25.pdf,2.64,Not Ingested,0,0,,F_Manufacturers/Fasteners/Buildex/ITW_Buildex_Catalog_2024-25.pdf
Product Rep,F_Manufacturers,Delfast,Delfast_Nails_BRANZ_Appraisal_1154.pdf,0.55,Not Ingested,0,0,,F_Manufacturers/Fasteners/Delfast/Delfast_Nails_BRANZ_Appraisal_1154.pdf
Product Rep,F_Manufacturers,Delfast,Delfast_PlaceMakers_Nail_Guide_2023.pdf,1.76,Not Ingested,0,0,,F_Manufacturers/Fasteners/Delfast/Delfast_PlaceMakers_Nail_Guide_2023.pdf
Product Rep,F_Manufacturers,Delfast,Delfast_PlaceMakers_Rural_Range_2021.pdf,3.48,Not Ingested,0,0,,F_Manufacturers/Fasteners/Delfast/Delfast_PlaceMakers_Rural_Range_2021.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-AG16-BRADS.pdf,0.81,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-AG16-BRADS.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-BC-BRADS.pdf,0.74,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-BC-BRADS.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-Blue-Head-Screw-Bolt-Installation-Guide.pdf,12.71,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-Blue-Head-Screw-Bolt-Installation-Guide.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-Bottom-Plate-Fixing-Installation-Guide-2.pdf,18.00,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-Bottom-Plate-Fixing-Installation-Guide-2.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-Bottom-Plate-Fixing-Installation-Guide.pdf,12.29,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-Bottom-Plate-Fixing-Installation-Guide.pdf
Product Rep,F_Manufacturers,Ecko,0-ECKO-DA-BRADS.pdf,0.75,Not Ingested,0,0,,F_Manufacturers/Fasteners/Ecko/0-ECKO-DA-BRADS.pdf
