filename,brand,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status
Abodo Wood - ABODO-New-TMT-Painting-and-Staining-Spec-Nov-2014,Abodo Wood,Color_Chart,cladding,2,0,Text Only
Abodo Wood - AW62-180x20mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - AW62P-187x18-Profile-Drawing,Unknown,,,0,1,Visual Only
Abodo Wood - AW62P-187x18-Profile-Drawing-Abodo-Wood-Jan-18,Abodo Wood,CAD_Detail,cladding,2,0,Text Only
Abodo Wood - Abodo-Brochure-New-Growth-Feature-Timbers,Abodo Wood,Product_Catalog,cladding,5,0,Text Only
Abodo Wood - Abodo-CodeMark-Weatherboard-Cladding-System-Manual,Abodo Wood,Installation_Guide,cladding,89,0,Text Only
Abodo Wood - Abodo-Guidelines-for-Vulcan-Cladding-Standard-Series-Clear-2-Laminated-Grade,Abodo Wood,Installation_Guide,cladding,3,0,Text Only
Abodo Wood - Abodo-Profile-Drawing-WB18-180x18,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - Abodo-Safety-Data-Sheet-End-Seal-MAY-23-V3,Abodo Wood,Safety_Data_Sheet,cladding,4,0,Text Only
Abodo Wood - Abodo-Safety-Data-Sheet-NZ-Protector-Jan-24,Abodo Wood,Safety_Data_Sheet,cladding,37,0,Text Only
Abodo Wood - Abodo-Safety-Data-Sheet-Vulcan,Abodo Wood,Safety_Data_Sheet,cladding,4,0,Text Only
Abodo Wood - Abodo-Safety-Data-Sheet_Rejuvenator-Wood-Cleaner-May-22,Abodo Wood,Safety_Data_Sheet,cladding,5,0,Text Only
Abodo Wood - Abodo-Semi-Vertical-Grain-SVG-Grain-Orientation-Guidelines,Abodo Wood,Installation_Guide,cladding,4,0,Text Only
Abodo Wood - Abodo-Sioox-Wood-Protection-Manual-Apr-23,Abodo Wood,Installation_Guide,cladding,4,0,Text Only
Abodo Wood - Abodo-Thermal-Conductivity-Memo,Abodo Wood,Technical_Manual,cladding,1,0,Text Only
Abodo Wood - Abodo-Vulcan-Cladding-Comparison-Guide,Abodo Wood,Installation_Guide,cladding,1,0,Text Only
Abodo Wood - Abodo-Vulcan-Shingles-Oculus-Compliance-Letter,Abodo Wood,Certification,cladding,6,0,Text Only
Abodo Wood - Abodo-Vulcan-Timber-LRV-and-SRI-Guide-May-23,Abodo Wood,Color_Chart,cladding,9,0,Text Only
Abodo Wood - Abodo-Wood-Environmental-Product-Declaration,Abodo Wood,EPD,cladding,9,0,Text Only
Abodo Wood - Appearance-Grades-Timber-Grading-Rules-Abodo-Wood,Abodo Wood,Installation_Guide,cladding,3,0,Text Only
Abodo Wood - BAND4S-138x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - BAND4S-180x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - BAND4S-42x42-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - BAND4S-65x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - BAND4S-88x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - Built-to-Last-Warranty-30yrs-ACQ-Abodo-Wood,Abodo Wood,Certification,cladding,1,0,Text Only
Abodo Wood - Comparative-Biomass-Growth-and-Carbon-Sequestration-Report-Abodo-Wood,Abodo Wood,Technical_Manual,cladding,4,0,Text Only
Abodo Wood - DK14S-90x21-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - DK16V-142x27mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - DK4R-140x27-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - Group-Number-Classification-Certificate-Fire-Rating-Abodo-Wood,Abodo Wood,Certification,cladding,3,0,Text Only
Abodo Wood - Look-Book-Vulcan-Feature-Timber-Projects,Abodo Wood,Product_Catalog,cladding,2,0,Text Only
Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x120,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x90,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - Maintenance-Guidelines-Timber-Cladding-Screening-NZ-Abodo-Wood,Abodo Wood,Installation_Guide,screening,3,0,Text Only
