brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,Altus - 00 General - Environmental Product Declaration EPD v,Unknown,,2024,2023-07-30,YES,EXPIRED,UNDECLARED,"in this EPD)
Module C
  Page 7 of 65
Altus Industrial Aluminium & Window Systems"
C_Interiors,RCS - Rockcote_Velvetina - Fire_Report - Fire Report FH06284,Unknown,,1222,20/06/2023,YES,EXPIRED,UNDECLARED,
C_Interiors,RCS - Rockcote_Venetian - Fire_Report - Fire Report FH06284,Unknown,,1222,20/06/2023,YES,EXPIRED,UNDECLARED,
01_Compliance,GIB - Fire Rated Systems Manual,Technical_Manual,,289,,UNKNOWN,CONDITIONAL,UNDECLARED,a maximum width of 10mm.
01_Compliance,Industry - Ardex Waterproofing Manual,Technical_Manual,Certificat,462,,UNKNOWN,CONDITIONAL,UNDECLARED,as a trafficable surface.
01_Compliance,Industry - BRANZ House Insulation Guide (6th Ed V2.4),Technical_Guide,scheme,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"if the roof space is likely to be 
used for storage and therefore accessed from "
01_Compliance,Industry - NZ Metal Roofing Code of Practice,Code_of_Practice,Centimetre,1960,,UNKNOWN,CONDITIONAL,UNDECLARED,"C
May need separation."
01_Compliance,Industry - Wet Area Membrane Code of Practice (4th Ed 2020),Code_of_Practice,,587,,UNKNOWN,CONDITIONAL,UNDECLARED,"for 
use as a new floor to any wet area."
01_Compliance,MBIE - Materials and Workmanship Tolerances Guide,Guidance,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"for performing a subjective visual inspection 
of interior surfaces."
01_Compliance,NZBC - B1_AS1 - Structure (2nd Ed),Building_Code,,120,,UNKNOWN,CONDITIONAL,UNDECLARED,"a 
rectangular slab with long side not exceeding 17."
01_Compliance,NZBC - Building Code (Master),Building_Code,illan,411,,UNKNOWN,CONDITIONAL,UNDECLARED,"protect other 
household units and other property."
01_Compliance,NZBC - E2_AS1 - External Moisture (4th Ed 2025),Building_Code,,330,,UNKNOWN,CONDITIONAL,UNDECLARED,"manage the moisture handled by the cavity 
before it is directed to the outside."
01_Compliance,NZBC - E2_AS1 - External Moisture (4th Ed Full),Building_Code,,330,,UNKNOWN,CONDITIONAL,UNDECLARED,"manage the moisture handled by the cavity 
before it is directed to the outside."
01_Compliance,Standards - NZS 3602_2003 - Timber and Wood-based Products f,Standard,,102,,UNKNOWN,CONDITIONAL,UNDECLARED,from the species dressing grade as referred to in table 1C.
01_Compliance,Standards - NZS 3604_2011 - Timber-framed Buildings,Standard,,2010,,UNKNOWN,CONDITIONAL,UNDECLARED,from good ground defined in 1.
A_Structure,J-Frame-beam-span-tables-V1.0,Unknown,EngNZ,,,UNKNOWN,CONDITIONAL,UNDECLARED,"provide structural engineering for 
the development of the J-Frame 8 and J-Frame"
A_Structure,J-Frame-stud-span-tables-V1.0,Unknown,EngNZ,,,UNKNOWN,CONDITIONAL,UNDECLARED,"provide structural engineering for 
the development of the J-Frame 8 and J-Frame"
A_Structure,RCS - Integra_Flooring - Fire_Report - BRANZ Report FAR4686-,Unknown,,1222,,UNKNOWN,CONDITIONAL,UNDECLARED,600 mm centres.
A_Structure,RibRaft_Technical_Manual_CodeMark_2024,Unknown,NZ70056,1805,,UNKNOWN,CONDITIONAL,UNDECLARED,RECESSES LESS THAN 6m2.
A_Structure,Two_Storey_Masonry_Veneer_Solutions,Unknown,,967,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery 
and wall interfaces and in the Technical Literature."
A_Structure,Vulcan-Screening-Design-Guide-Abodo-Wood,Unknown,,3604,,UNKNOWN,CONDITIONAL,UNDECLARED,2mm or span/600.
B_Enclosure,APL - 00 General - BRANZ Appraisal 1188 Metro Centrafix,Unknown,Certificat,1188,,UNKNOWN,CONDITIONAL,UNDECLARED,"for use where fire rated windows, fire doors or 
smoke control doors are require"
