session_id,turn,citation_index,source,page,snippet_len,snippet,score,section,clause,snippet_violation,exists_in_db
soak_session_24_1759710847,1,0,NZ Metal Roofing,354,196,"...on Roofs 
Falling from height is the most obvious hazard associated with installing roof and wall...",0.999,Working on Roofs,,False,True
soak_session_25_1759710847,1,0,NZ Metal Roofing,376,200,"...their length, gauge pitch (threads per inch) and their drill point. The drill point
may be type 1...",1.0,Screw Gauge,,False,True
soak_session_20_1759710847,1,0,NZ Metal Roofing,444,145,"15.5.2.2C
 Typical Built-Up Roof
20 mm
Roof
Insulation
Underlay
Netting
Foil
Safety mesh
Packer
Purl...",0.998,Roof,,False,True
soak_session_16_1759710847,1,0,NZ Building Code,210,200,"NEW ZEALAND BUILDING CODE HANDBOOK  Index
14 February 2014 MINISTRY OF BUSINESS, INNOVATION AND EMPL...",0.999,"................................................................. C/AS4 3.9.4, 3",G12AS1,False,True
soak_session_23_1759710847,1,0,NZ Metal Roofing,547,187,"...clause has been removed as part
of a substantial revision of COP Clause
14. Installation. For han...",0.998,3 - Substantial,,False,True
soak_session_18_1759710847,1,0,NZ Metal Roofing,444,145,"15.5.2.2C
 Typical Built-Up Roof
20 mm
Roof
Insulation
Underlay
Netting
Foil
Safety mesh
Packer
Purl...",0.998,Roof,,False,True
soak_session_22_1759710847,1,0,NZ Metal Roofing,562,192,"...clause.
3 - Substantial
change to
recommendation
5.5.7
5.4.6
 Secret Gutters
Clause revised, for ...",1.0,4 - Clause,,False,True
soak_session_17_1759710847,1,0,NZ Metal Roofing,354,192,"...with installing roof and wall cladding.  There is a
hierarchy of techniques and mechanisms for en...",0.998,Working on Roofs,,False,True
soak_session_19_1759710847,1,0,NZ Metal Roofing,562,192,"...clause.
3 - Substantial
change to
recommendation
5.5.7
5.4.6
 Secret Gutters
Clause revised, for ...",1.0,4 - Clause,,False,True
soak_session_21_1759710847,1,0,NZ Metal Roofing,547,187,"...clause has been removed as part
of a substantial revision of COP Clause
14. Installation. For han...",0.998,3 - Substantial,,False,True
soak_session_24_1759710847,1,1,NZ Metal Roofing,6,188,"...And Measurement
18.6  Velocities
18.7  Cricket Penetration Patterns
18.8  Sheet Metal Work For Ro...",0.999,,,False,True
soak_session_25_1759710847,1,1,NZ Metal Roofing,183,105,A scupper is formed where an internal gutter discharges horizontally through the side or end wall of...,1.0,Secret Gutters,,False,True
soak_session_20_1759710847,1,1,NZ Metal Roofing,576,194,"...combined with 
14.3.1
 Unloading
2 - Editing and
rearrangement
14
14
 Installation
Clause revised...",0.998,0 - Clause,,False,True
soak_session_16_1759710847,1,1,NZ Building Code,171,200,"MINISTRY OF BUSINESS, INNOVATION AND EMPLOYMENT 14 February 2014NEW ZEALAND BUILDING CODE HANDBOOK I...",0.999,Car park ventilation ...........................................................,F7AS1,False,True
soak_session_23_1759710847,1,1,NZ Metal Roofing,386,200,"...a way that they do not cause ponding. See External
Moisture: Penetrations.
On low pitched roofs, ...",0.998,Correctly Installed Gutters,,False,True
soak_session_18_1759710847,1,1,NZ Metal Roofing,576,194,"...combined with 
14.3.1
 Unloading
2 - Editing and
rearrangement
14
14
 Installation
Clause revised...",0.998,0 - Clause,,False,True
soak_session_22_1759710847,1,1,NZ Metal Roofing,17,178,The final and most expensive alternative is litigation. That usually involves suing for breach of co...,1.0,INTRODUCTION,,False,True
soak_session_17_1759710847,1,1,NZ Metal Roofing,183,105,A scupper is formed where an internal gutter discharges horizontally through the side or end wall of...,0.998,Secret Gutters,,False,True
soak_session_19_1759710847,1,1,NZ Metal Roofing,17,178,The final and most expensive alternative is litigation. That usually involves suing for breach of co...,1.0,INTRODUCTION,,False,True
soak_session_21_1759710847,1,1,NZ Metal Roofing,386,200,"...a way that they do not cause ponding. See External
Moisture: Penetrations.
On low pitched roofs, ...",0.998,Correctly Installed Gutters,,False,True
soak_session_24_1759710847,1,2,NZ Metal Roofing,183,105,A scupper is formed where an internal gutter discharges horizontally through the side or end wall of...,0.999,Secret Gutters,,False,True
soak_session_25_1759710847,1,2,NZ Metal Roofing,6,188,"...And Measurement
18.6  Velocities
18.7  Cricket Penetration Patterns
18.8  Sheet Metal Work For Ro...",1.0,,,False,True
soak_session_20_1759710847,1,2,NZ Metal Roofing,118,198,"...
Materials comprising the building envelope should not be considered in isolation, as their perfo...",0.998,Compatibility,,False,True
soak_session_16_1759710847,1,2,NZ Building Code,185,200,"MINISTRY OF BUSINESS, INNOVATION AND EMPLOYMENT 14 February 2014NEW ZEALAND BUILDING CODE HANDBOOK I...",0.999,,E2AS1,False,True
soak_session_23_1759710847,1,2,NZ Metal Roofing,592,200,"...""enough""
1 - Minor
Errata
10.2
11.2
 Natural
Light
Materials
Fixed typos: ""a varying mass"" and ""s...",0.998,1 - Minor,,False,True
soak_session_18_1759710847,1,2,NZ Metal Roofing,118,198,"...
Materials comprising the building envelope should not be considered in isolation, as their perfo...",0.998,Compatibility,,False,True
soak_session_22_1759710847,1,2,NZ Metal Roofing,195,196,"...25%
 
Downpipe Catchment 50%
50%
50%
50%
50%100%
25%
25%
25%
25%
50%
50%
 
5.7.2 
Capacity Table ...",1.0,300 mm Fall,,False,True
soak_session_17_1759710847,1,2,NZ Metal Roofing,385,166,"14.19 
Avoiding Problems 
14.19.1 
Roof Cladding Damage 
Excessive downforce on a rib or corrugate c...",0.998,Avoiding Problems,,False,True
soak_session_19_1759710847,1,2,NZ Metal Roofing,195,196,"...25%
 
Downpipe Catchment 50%
50%
50%
50%
50%100%
25%
25%
25%
25%
50%
50%
 
5.7.2 
Capacity Table ...",1.0,300 mm Fall,,False,True
soak_session_21_1759710847,1,2,NZ Metal Roofing,592,200,"...""enough""
1 - Minor
Errata
10.2
11.2
 Natural
Light
Materials
Fixed typos: ""a varying mass"" and ""s...",0.998,1 - Minor,,False,True
soak_session_24_1759710847,2,0,NZ Metal Roofing,13,184,"...9224
2012
Corrosion of metals and alloys. Corrosivity of atmospheres - Guiding values
for the cor...",0.999,ISO 9223,"AS/NZS
3500.3",False,True
soak_session_25_1759710847,2,0,NZ Metal Roofing,197,200,"...energy and ensure wide
distribution of the water. A spreader should be used over multiple troughs...",0.998,Downpipe Spreaders,,False,True
